Regel;Tijdstip aangemaakt;Meldingsoort;Melding;Referentie
83;2019-08-18 02:00:35.339866;Transactie;Database changes committed.;
84;2019-08-18 02:00:35.779492;Mededeling;The task 'Import reference data parties into Data Mart' started.;
85;2019-08-18 02:00:35.779595;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_customer_ref_00983.xml.gz' has been initialized.;
86;2019-08-18 02:00:35.779648;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_customer_ref_00983.xml.gz' has been successfully completed.;
87;2019-08-18 02:00:35.779698;Transactie;Database changes committed.;
88;2019-08-18 02:00:35.786836;Mededeling;The task 'Import reference data parties into Data Mart' ended.;
89;2019-08-18 02:00:35.786958;Transactie;Database changes committed.;
90;2019-08-18 02:01:26.005428;Mededeling;The task 'Import main entities parties into Data Mart' started.;
91;2019-08-18 02:01:26.005559;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_customers_00983.xml.gz' has been initialized.;
92;2019-08-18 02:01:26.005613;Mededeling;In total 1,001 Party(s) are imported into Data Mart within this task.;
93;2019-08-18 02:01:26.005657;Transactie;Database changes committed.;
94;2019-08-18 02:02:26.238454;Transactie;Database changes committed.;
95;2019-08-18 02:02:26.42085;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_customers_00983.xml.gz' has been successfully completed.;
96;2019-08-18 02:02:26.420925;Mededeling;In total 1,115 Party(s) are imported into Data Mart within this task.;
97;2019-08-18 02:02:26.420959;Transactie;Database changes committed.;
98;2019-08-18 02:02:26.494827;Transactie;Database changes committed.;
99;2019-08-18 02:02:26.500456;Mededeling;1,115 Party(s) are successfully imported, 0 Party(s) have not been imported due to errors.;
100;2019-08-18 02:02:26.500498;Mededeling;The task 'Import main entities parties into Data Mart' ended.;
101;2019-08-18 02:02:26.500519;Transactie;Database changes committed.;
102;2019-08-18 02:02:26.567296;Records per minuut;Speed of processing entity Party(s): 604 per minute.;
103;2019-08-18 02:02:26.567349;Mededeling;The task 'Import creditors to MIS' started.;
104;2019-08-18 02:02:26.567371;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_customerCreditors_00983.xml.gz' has been initialized.;
105;2019-08-18 02:02:26.56739;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_customerCreditors_00983.xml.gz' has been successfully completed.;
106;2019-08-18 02:02:26.567413;Transactie;Database changes committed.;
107;2019-08-18 02:02:26.572508;Mededeling;0 Party Creditor(s) are successfully imported, 0 Party Creditor(s) have not been imported due to errors.;
108;2019-08-18 02:02:26.572545;Mededeling;The task 'Import creditors to MIS' ended.;
109;2019-08-18 02:02:26.572568;Transactie;Database changes committed.;
110;2019-08-18 02:02:46.984906;Mededeling;The task 'Import main entities Remote Users into Data Mart' started.;
111;2019-08-18 02:02:46.984988;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_remoteusers_00983.xml.gz' has been initialized.;
112;2019-08-18 02:02:46.985011;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_remoteusers_00983.xml.gz' has been successfully completed.;
113;2019-08-18 02:02:46.985033;Mededeling;The first  236 remote user(s) are being imported into Data Mart.;
114;2019-08-18 02:02:46.985056;Transactie;Database changes committed.;
115;2019-08-18 02:02:50.412386;Transactie;Database changes committed.;
116;2019-08-18 02:02:50.416855;Mededeling;236 remote user(s) are successfully imported, 0 remote user(s) have not been imported due to errors.;
117;2019-08-18 02:02:50.416957;Mededeling;The task 'Import main entities Remote Users into Data Mart' ended.;
118;2019-08-18 02:02:50.41701;Transactie;Database changes committed.;
119;2019-08-18 02:02:50.490031;Mededeling;The task 'Import main entities Client Sessions into Data Mart ' started.;
120;2019-08-18 02:02:50.490083;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_clientSessions_00983.xml.gz' has been initialized.;
121;2019-08-18 02:02:50.491169;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_clientSessions_00983.xml.gz' has been successfully completed.;
122;2019-08-18 02:02:50.491205;Transactie;Database changes committed.;
123;2019-08-18 02:02:50.495306;Mededeling;0 Client-session(s) are successfully imported, 0 Client-session(s) have not been imported due to errors.;
124;2019-08-18 02:02:50.495404;Mededeling;The task 'Import main entities Client Sessions into Data Mart ' ended.;
125;2019-08-18 02:02:50.495456;Transactie;Database changes committed.;
126;2019-08-18 02:02:50.544714;Mededeling;The task 'Import reference data cleaned entities into MIS' started.;
127;2019-08-18 02:02:50.544812;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_cleanedEntities_ref_00983.xml.gz' has been initialized.;
128;2019-08-18 02:02:50.544864;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_cleanedEntities_ref_00983.xml.gz' has been successfully completed.;
129;2019-08-18 02:02:50.544905;Transactie;Database changes committed.;
130;2019-08-18 02:02:50.550357;Mededeling;The task 'Import reference data cleaned entities into MIS' ended.;
131;2019-08-18 02:02:50.550398;Transactie;Database changes committed.;
132;2019-08-18 02:02:50.616461;Mededeling;The task 'Import cleaned entities into MIS' started.;
133;2019-08-18 02:02:50.616558;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_cleanedEntities_00983.xml.gz' has been initialized.;
134;2019-08-18 02:02:50.61661;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_cleanedEntities_00983.xml.gz' has been successfully completed.;
135;2019-08-18 02:02:50.616661;Transactie;Database changes committed.;
136;2019-08-18 02:02:50.620667;Mededeling;0 Cleaned entity(ies) are successfully imported, 0 Cleaned entity(ies) have not been imported due to errors.;
137;2019-08-18 02:02:50.620719;Mededeling;The task 'Import cleaned entities into MIS' ended.;
138;2019-08-18 02:02:50.620746;Transactie;Database changes committed.;
139;2019-08-18 02:02:50.727523;Mededeling;The task 'Import Reference data entity events to MIS' started.;
140;2019-08-18 02:02:50.727569;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_entityEvents_ref_00983.xml.gz' has been initialized.;
141;2019-08-18 02:02:50.727591;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_entityEvents_ref_00983.xml.gz' has been successfully completed.;
142;2019-08-18 02:02:50.727612;Transactie;Database changes committed.;
143;2019-08-18 02:02:50.732895;Mededeling;The task 'Import Reference data entity events to MIS' ended.;
144;2019-08-18 02:02:50.732989;Transactie;Database changes committed.;
145;2019-08-18 02:03:46.975688;Mededeling;The task 'Import entity events to MIS' started.;
146;2019-08-18 02:03:46.975771;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_entityEvents_00983.xml.gz' has been initialized.;
147;2019-08-18 02:03:46.975811;Mededeling;In total 1,001 change(s) are imported into Data Mart within this task.;
148;2019-08-18 02:03:46.975843;Transactie;Database changes committed.;
149;2019-08-18 02:03:51.865547;Transactie;Database changes committed.;
150;2019-08-18 02:03:52.57866;Mededeling;In total 2,001 change(s) are imported into Data Mart within this task.;
151;2019-08-18 02:03:52.578734;Transactie;Database changes committed.;
152;2019-08-18 02:03:55.330619;Transactie;Database changes committed.;
153;2019-08-18 02:03:55.810345;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_entityEvents_00983.xml.gz' has been successfully completed.;
154;2019-08-18 02:03:55.810409;Mededeling;In total 2,725 change(s) are imported into Data Mart within this task.;
155;2019-08-18 02:03:55.810436;Transactie;Database changes committed.;
156;2019-08-18 02:03:57.2291;Transactie;Database changes committed.;
157;2019-08-18 02:03:57.233273;Mededeling;2,725 change(s) are successfully imported, 0 change(s) have not been imported due to errors.;
158;2019-08-18 02:03:57.233323;Mededeling;The task 'Import entity events to MIS' ended.;
159;2019-08-18 02:03:57.233349;Transactie;Database changes committed.;
160;2019-08-18 02:03:57.33721;Records per minuut;Speed of processing entity change(s): 2,458 per minute.;
161;2019-08-18 02:03:57.337259;Mededeling;The task 'Import reference data Health Statements into Data Mart' started.;
162;2019-08-18 02:03:57.337284;Mededeling;Import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_healthStatements_ref_00983.xml.gz' has been initialized.;
163;2019-08-18 02:03:57.337316;Succesmelding;The import of file '/data/MIS/importMIS/inprocessing/00983/exportToMIS_healthStatements_ref_00983.xml.gz' has been successfully completed.;
164;2019-08-18 02:03:57.337342;Mededeling;The first  14 health statement reference(s) are being imported into Data Mart.;
165;2019-08-18 02:03:57.33738;Transactie;Database changes committed.;
